Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Month
1051,2023-01-01,8043,Deposit,2023-01
1092,2023-01-02,6991,Withdrawal,2023-01
1014,2023-01-03,6838,Deposit,2023-01
1071,2023-01-04,2572,Deposit,2023-01
1060,2023-01-05,2839,Withdrawal,2023-01
1020,2023-01-06,5501,Withdrawal,2023-01
1082,2023-01-07,1861,Withdrawal,2023-01
1086,2023-01-08,976,Deposit,2023-01
1074,2023-01-09,3912,Deposit,2023-01
1074,2023-01-10,9604,Withdrawal,2023-01
1087,2023-01-11,1560,Withdrawal,2023-01
1099,2023-01-12,1833,Withdrawal,2023-01
1023,2023-01-13,1705,Withdrawal,2023-01
1002,2023-01-14,5722,Withdrawal,2023-01
1021,2023-01-15,6867,Withdrawal,2023-01
1052,2023-01-16,7086,Deposit,2023-01
1001,2023-01-17,3617,Deposit,2023-01
1087,2023-01-18,3835,Deposit,2023-01
1029,2023-01-19,9452,Withdrawal,2023-01
1037,2023-01-20,8534,Withdrawal,2023-01
1001,2023-01-21,2690,Withdrawal,2023-01
1063,2023-01-22,1163,Withdrawal,2023-01
1059,2023-01-23,4424,Withdrawal,2023-01
1020,2023-01-24,9211,Withdrawal,2023-01
1032,2023-01-25,5442,Deposit,2023-01
1075,2023-01-26,105,Deposit,2023-01
1057,2023-01-27,7589,Withdrawal,2023-01
1021,2023-01-28,8759,Deposit,2023-01
1088,2023-01-29,8295,Withdrawal,2023-01
1048,2023-01-30,6066,Deposit,2023-01
1090,2023-01-31,8937,Withdrawal,2023-01
1058,2023-02-01,217,Withdrawal,2023-02
1041,2023-02-02,2651,Deposit,2023-02
1091,2023-02-03,5660,Deposit,2023-02
1059,2023-02-04,4389,Withdrawal,2023-02
1079,2023-02-05,946,Withdrawal,2023-02
1014,2023-02-06,6416,Deposit,2023-02
1061,2023-02-07,6569,Deposit,2023-02
1061,2023-02-08,9433,Withdrawal,2023-02
1046,2023-02-09,9015,Deposit,2023-02
1061,2023-02-10,324,Withdrawal,2023-02
1050,2023-02-11,4308,Withdrawal,2023-02
1054,2023-02-12,6383,Withdrawal,2023-02
1063,2023-02-13,2148,Withdrawal,2023-02
1002,2023-02-14,6333,Deposit,2023-02
1050,2023-02-15,9865,Deposit,2023-02
1006,2023-02-16,1928,Deposit,2023-02
1020,2023-02-17,2017,Deposit,2023-02
1072,2023-02-18,4334,Deposit,2023-02
1038,2023-02-19,7088,Deposit,2023-02
1017,2023-02-20,2126,Deposit,2023-02
1003,2023-02-21,3844,Withdrawal,2023-02
1088,2023-02-22,9193,Deposit,2023-02
1059,2023-02-23,109,Deposit,2023-02
1013,2023-02-24,360,Withdrawal,2023-02
1008,2023-02-25,6138,Deposit,2023-02
1089,2023-02-26,9965,Deposit,2023-02
1052,2023-02-27,2319,Withdrawal,2023-02
1001,2023-02-28,7141,Deposit,2023-02
1083,2023-03-01,2160,Deposit,2023-03
1091,2023-03-02,5387,Deposit,2023-03
1059,2023-03-03,1719,Withdrawal,2023-03
1070,2023-03-04,8612,Deposit,2023-03
1043,2023-03-05,1442,Deposit,2023-03
1007,2023-03-06,2932,Withdrawal,2023-03
1046,2023-03-07,2924,Deposit,2023-03
1034,2023-03-08,2094,Withdrawal,2023-03
1077,2023-03-09,3590,Withdrawal,2023-03
1080,2023-03-10,9410,Deposit,2023-03
1035,2023-03-11,8084,Withdrawal,2023-03
1049,2023-03-12,1704,Withdrawal,2023-03
1003,2023-03-13,335,Deposit,2023-03
1001,2023-03-14,2008,Withdrawal,2023-03
1005,2023-03-15,8667,Withdrawal,2023-03
1053,2023-03-16,3630,Deposit,2023-03
1003,2023-03-17,5356,Deposit,2023-03
1053,2023-03-18,2735,Deposit,2023-03
1092,2023-03-19,8262,Withdrawal,2023-03
1062,2023-03-20,9862,Deposit,2023-03
1017,2023-03-21,2660,Withdrawal,2023-03
1089,2023-03-22,5515,Withdrawal,2023-03
1043,2023-03-23,3491,Withdrawal,2023-03
1033,2023-03-24,6051,Withdrawal,2023-03
1073,2023-03-25,5568,Withdrawal,2023-03
1061,2023-03-26,8107,Withdrawal,2023-03
1099,2023-03-27,9164,Withdrawal,2023-03
1013,2023-03-28,9544,Deposit,2023-03
1094,2023-03-29,6513,Deposit,2023-03
1047,2023-03-30,7041,Withdrawal,2023-03
1014,2023-03-31,9606,Withdrawal,2023-03
1071,2023-04-01,4920,Deposit,2023-04
1077,2023-04-02,2998,Withdrawal,2023-04
1086,2023-04-03,7646,Deposit,2023-04
1061,2023-04-04,177,Deposit,2023-04
1039,2023-04-05,7677,Deposit,2023-04
1084,2023-04-06,4327,Withdrawal,2023-04
1079,2023-04-07,700,Withdrawal,2023-04
1081,2023-04-08,1165,Deposit,2023-04
1052,2023-04-09,2236,Deposit,2023-04
1023,2023-04-10,9610,Deposit,2023-04
1025,2023-04-11,7043,Deposit,2023-04
1088,2023-04-12,7904,Deposit,2023-04
1059,2023-04-13,6665,Withdrawal,2023-04
1040,2023-04-14,6084,Deposit,2023-04
1028,2023-04-15,5242,Withdrawal,2023-04
1014,2023-04-16,4770,Deposit,2023-04
1044,2023-04-17,2290,Withdrawal,2023-04
1064,2023-04-18,9284,Withdrawal,2023-04
1088,2023-04-19,2812,Withdrawal,2023-04
1070,2023-04-20,2292,Withdrawal,2023-04
1008,2023-04-21,1348,Withdrawal,2023-04
1087,2023-04-22,4133,Withdrawal,2023-04
1000,2023-04-23,2097,Deposit,2023-04
1007,2023-04-24,3787,Withdrawal,2023-04
1087,2023-04-25,4118,Deposit,2023-04
1062,2023-04-26,2070,Withdrawal,2023-04
1010,2023-04-27,8489,Withdrawal,2023-04
1080,2023-04-28,5865,Deposit,2023-04
1007,2023-04-29,1302,Withdrawal,2023-04
1034,2023-04-30,8235,Deposit,2023-04
1034,2023-05-01,5667,Deposit,2023-05
1032,2023-05-02,7767,Deposit,2023-05
1004,2023-05-03,5842,Deposit,2023-05
1040,2023-05-04,5888,Withdrawal,2023-05
1027,2023-05-05,5508,Withdrawal,2023-05
1006,2023-05-06,8769,Deposit,2023-05
1072,2023-05-07,9546,Withdrawal,2023-05
1071,2023-05-08,1022,Withdrawal,2023-05
1011,2023-05-09,519,Deposit,2023-05
1033,2023-05-10,2304,Withdrawal,2023-05
1032,2023-05-11,1220,Deposit,2023-05
1047,2023-05-12,1050,Deposit,2023-05
1022,2023-05-13,2436,Withdrawal,2023-05
1061,2023-05-14,5473,Withdrawal,2023-05
1087,2023-05-15,2343,Withdrawal,2023-05
1036,2023-05-16,2745,Deposit,2023-05
1098,2023-05-17,4712,Deposit,2023-05
1043,2023-05-18,1965,Withdrawal,2023-05
1085,2023-05-19,6128,Withdrawal,2023-05
1090,2023-05-20,7426,Withdrawal,2023-05
1034,2023-05-21,6471,Withdrawal,2023-05
1064,2023-05-22,6459,Deposit,2023-05
1098,2023-05-23,7963,Withdrawal,2023-05
1046,2023-05-24,3328,Deposit,2023-05
1077,2023-05-25,3819,Deposit,2023-05
1002,2023-05-26,2471,Withdrawal,2023-05
1000,2023-05-27,2991,Withdrawal,2023-05
1004,2023-05-28,3856,Withdrawal,2023-05
1089,2023-05-29,4325,Deposit,2023-05
1013,2023-05-30,194,Withdrawal,2023-05
1026,2023-05-31,2774,Withdrawal,2023-05
1008,2023-06-01,6998,Deposit,2023-06
1078,2023-06-02,893,Withdrawal,2023-06
1014,2023-06-03,2216,Deposit,2023-06
1089,2023-06-04,5879,Withdrawal,2023-06
1041,2023-06-05,6266,Deposit,2023-06
1076,2023-06-06,914,Withdrawal,2023-06
1050,2023-06-07,445,Withdrawal,2023-06
1062,2023-06-08,8654,Deposit,2023-06
1095,2023-06-09,2543,Deposit,2023-06
1051,2023-06-10,7883,Withdrawal,2023-06
1095,2023-06-11,1084,Deposit,2023-06
1003,2023-06-12,7890,Deposit,2023-06
1093,2023-06-13,9931,Deposit,2023-06
1022,2023-06-14,927,Deposit,2023-06
1014,2023-06-15,3631,Withdrawal,2023-06
1042,2023-06-16,7247,Withdrawal,2023-06
1028,2023-06-17,4551,Deposit,2023-06
1035,2023-06-18,3976,Deposit,2023-06
1012,2023-06-19,6059,Deposit,2023-06
1031,2023-06-20,226,Deposit,2023-06
1070,2023-06-21,3277,Withdrawal,2023-06
1058,2023-06-22,8895,Withdrawal,2023-06
1085,2023-06-23,6124,Deposit,2023-06
1027,2023-06-24,5209,Deposit,2023-06
1065,2023-06-25,4246,Deposit,2023-06
1041,2023-06-26,7296,Withdrawal,2023-06
1044,2023-06-27,3468,Deposit,2023-06
1061,2023-06-28,3897,Withdrawal,2023-06
1056,2023-06-29,1892,Deposit,2023-06
1005,2023-06-30,5832,Withdrawal,2023-06
1027,2023-07-01,3576,Deposit,2023-07
1027,2023-07-02,3517,Withdrawal,2023-07
1043,2023-07-03,1745,Deposit,2023-07
1083,2023-07-04,9497,Deposit,2023-07
1029,2023-07-05,3130,Deposit,2023-07
1061,2023-07-06,2972,Withdrawal,2023-07
1074,2023-07-07,3172,Deposit,2023-07
1091,2023-07-08,1954,Withdrawal,2023-07
1088,2023-07-09,4121,Withdrawal,2023-07
1061,2023-07-10,4762,Deposit,2023-07
1096,2023-07-11,6614,Deposit,2023-07
1000,2023-07-12,5131,Deposit,2023-07
1026,2023-07-13,2808,Withdrawal,2023-07
1061,2023-07-14,7212,Deposit,2023-07
1076,2023-07-15,9624,Withdrawal,2023-07
1002,2023-07-16,8493,Withdrawal,2023-07
1069,2023-07-17,3607,Deposit,2023-07
1071,2023-07-18,6556,Deposit,2023-07
1026,2023-07-19,4312,Deposit,2023-07
1008,2023-07-20,8070,Deposit,2023-07
1061,2023-07-21,8866,Deposit,2023-07
1036,2023-07-22,636,Deposit,2023-07
1096,2023-07-23,1725,Withdrawal,2023-07
1050,2023-07-24,8073,Withdrawal,2023-07
1043,2023-07-25,8677,Withdrawal,2023-07
1023,2023-07-26,8170,Deposit,2023-07
1078,2023-07-27,8766,Withdrawal,2023-07
1058,2023-07-28,8709,Withdrawal,2023-07
1031,2023-07-29,6590,Withdrawal,2023-07
1095,2023-07-30,3700,Withdrawal,2023-07
1087,2023-07-31,6883,Withdrawal,2023-07
1051,2023-08-01,9246,Deposit,2023-08
1061,2023-08-02,5071,Deposit,2023-08
1057,2023-08-03,1305,Withdrawal,2023-08
1051,2023-08-04,2090,Withdrawal,2023-08
1011,2023-08-05,5399,Withdrawal,2023-08
1038,2023-08-06,3672,Deposit,2023-08
1001,2023-08-07,6075,Deposit,2023-08
1002,2023-08-08,6420,Withdrawal,2023-08
1055,2023-08-09,4480,Deposit,2023-08
1080,2023-08-10,4857,Deposit,2023-08
1058,2023-08-11,2813,Withdrawal,2023-08
